Pointing,Gl,Gb,RA,Dec
MSGPS_S_0220,-73.94153025787095,-1.3557507204254986,10:31:38.06,-59:34:1.45
MSGPS_S_0221,-74.08577953744545,-1.1059036392472548,10:31:39.64,-59:16:42.99
MSGPS_S_0222,-73.94153025787095,-0.8560565580690108,10:33:37.29,-59:08:10.66
MSGPS_S_0223,-74.08577953744545,-0.6062094768907669,10:33:37.84,-58:50:52.09
MSGPS_S_0224,-73.94153025787095,-0.35636239571252304,10:35:33.54,-58:42:13.2
MSGPS_S_0225,-74.08577953744545,-0.1065153145342792,10:35:33.13,-58:24:54.61
MSGPS_S_0226,-73.94153025787095,0.14333176664396485,10:37:26.94,-58:16:9.36
MSGPS_S_0227,-74.08577953744545,0.3931788478222087,10:37:25.62,-57:58:50.82
MSGPS_S_0228,-73.94153025787095,0.6430259290004525,10:39:17.59,-57:49:59.4
MSGPS_S_0229,-74.08577953744545,0.8928730101786966,10:39:15.4,-57:32:40.98
MSGPS_S_0230,-73.94153025787095,1.1427200913569402,10:41:5.58,-57:23:43.56
MSGPS_S_0231,-73.65303169872195,-1.3557507204254986,10:33:36.12,-59:42:47.73
MSGPS_S_0232,-73.79728097829644,-1.1059036392472548,10:33:36.72,-59:25:29.2
MSGPS_S_0233,-73.65303169872195,-0.8560565580690108,10:35:34.38,-59:16:50.35
MSGPS_S_0234,-73.79728097829644,-0.6062094768907669,10:35:33.96,-58:59:31.78
MSGPS_S_0235,-73.65303169872195,-0.35636239571252304,10:37:29.66,-58:50:46.44
MSGPS_S_0236,-73.79728097829644,-0.1065153145342792,10:37:28.29,-58:33:27.9
MSGPS_S_0237,-73.65303169872195,0.14333176664396485,10:39:22.08,-58:24:36.27
MSGPS_S_0238,-73.79728097829644,0.3931788478222087,10:39:19.81,-58:07:17.83
MSGPS_S_0239,-73.65303169872195,0.6430259290004525,10:41:11.74,-57:58:20.1
MSGPS_S_0240,-73.79728097829644,0.8928730101786966,10:41:8.63,-57:41:1.83
MSGPS_S_0241,-73.65303169872195,1.1427200913569402,10:42:58.75,-57:31:58.18
MSGPS_S_0242,-73.36453313957294,-1.3557507204254986,10:35:35.2,-59:51:27.43
MSGPS_S_0243,-73.50878241914744,-1.1059036392472548,10:35:34.79,-59:34:8.9
MSGPS_S_0244,-73.36453313957294,-0.8560565580690108,10:37:32.45,-59:25:23.49
MSGPS_S_0245,-73.50878241914744,-0.6062094768907669,10:37:31.05,-59:08:4.97
MSGPS_S_0246,-73.36453313957294,-0.35636239571252304,10:39:26.72,-58:59:13.14
MSGPS_S_0247,-73.50878241914744,-0.1065153145342792,10:39:24.38,-58:41:54.71
MSGPS_S_0248,-73.36453313957294,0.14333176664396485,10:41:18.13,-58:32:56.66
MSGPS_S_0249,-73.50878241914744,0.3931788478222087,10:41:14.91,-58:15:38.38
MSGPS_S_0250,-73.36453313957294,0.6430259290004525,10:43:6.78,-58:06:34.31
MSGPS_S_0251,-73.50878241914744,0.8928730101786966,10:43:2.73,-57:49:16.24
MSGPS_S_0252,-73.36453313957294,1.1427200913569402,10:44:52.79,-57:40:6.32
MSGPS_S_0253,-73.07603458042395,-1.3557507204254986,10:37:35.3,-60:00:0.47
MSGPS_S_0254,-73.22028385999845,-1.1059036392472548,10:37:33.87,-59:42:41.99
MSGPS_S_0255,-73.07603458042395,-0.8560565580690108,10:39:31.51,-59:33:49.98
MSGPS_S_0256,-73.22028385999845,-0.6062094768907669,10:39:29.1,-59:16:31.57
MSGPS_S_0257,-73.07603458042395,-0.35636239571252304,10:41:24.74,-59:07:33.22
MSGPS_S_0258,-73.22028385999845,-0.1065153145342792,10:41:21.41,-58:50:14.95
MSGPS_S_0259,-73.07603458042395,0.14333176664396485,10:43:15.1,-58:41:10.46
MSGPS_S_0260,-73.22028385999845,0.3931788478222087,10:43:10.91,-58:23:52.38
MSGPS_S_0261,-73.07603458042395,0.6430259290004525,10:45:2.71,-58:14:41.94
MSGPS_S_0262,-73.22028385999845,0.8928730101786966,10:44:57.7,-57:57:24.13
MSGPS_S_0263,-73.07603458042395,1.1427200913569402,10:46:47.67,-57:48:7.91
MSGPS_S_0264,-72.78753602127495,-1.3557507204254986,10:39:36.43,-60:08:26.74
MSGPS_S_0265,-72.93178530084944,-1.1059036392472548,10:39:33.96,-59:51:8.37
MSGPS_S_0266,-72.78753602127495,-0.8560565580690108,10:41:31.56,-59:42:9.72
MSGPS_S_0267,-72.93178530084944,-0.6062094768907669,10:41:28.12,-59:24:51.48
MSGPS_S_0268,-72.78753602127495,-0.35636239571252304,10:43:23.71,-59:15:46.58
MSGPS_S_0269,-72.93178530084944,-0.1065153145342792,10:43:19.37,-58:58:28.52
MSGPS_S_0270,-72.78753602127495,0.14333176664396485,10:45:13.0,-58:49:17.56
MSGPS_S_0271,-72.93178530084944,0.3931788478222087,10:45:7.81,-58:31:59.75
MSGPS_S_0272,-72.78753602127495,0.6430259290004525,10:46:59.53,-58:22:42.91
MSGPS_S_0273,-72.93178530084944,0.8928730101786966,10:46:53.55,-58:05:25.41
MSGPS_S_0274,-72.78753602127495,1.1427200913569402,10:48:43.42,-57:56:2.87
MSGPS_S_0275,-72.49903746212594,-1.3557507204254986,10:41:38.58,-60:16:46.15
MSGPS_S_0276,-72.64328674170044,-1.1059036392472548,10:41:35.05,-59:59:27.95
MSGPS_S_0277,-72.49903746212594,-0.8560565580690108,10:43:32.6,-59:50:22.64
MSGPS_S_0278,-72.64328674170044,-0.6062094768907669,10:43:28.12,-59:33:4.62
MSGPS_S_0279,-72.49903746212594,-0.35636239571252304,10:45:23.63,-59:23:53.13
MSGPS_S_0280,-72.64328674170044,-0.1065153145342792,10:45:18.27,-59:06:35.35
MSGPS_S_0281,-72.49903746212594,0.14333176664396485,10:47:11.81,-58:57:17.88
MSGPS_S_0282,-72.64328674170044,0.3931788478222087,10:47:5.61,-58:40:0.4
MSGPS_S_0283,-72.49903746212594,0.6430259290004525,10:48:57.23,-58:30:37.13
MSGPS_S_0284,-72.64328674170044,0.8928730101786966,10:48:50.26,-58:13:20.01
MSGPS_S_0285,-72.49903746212594,1.1427200913569402,10:50:40.01,-58:03:51.12
MSGPS_S_0286,-72.21053890297694,-1.3557507204254986,10:43:41.76,-60:24:58.6
MSGPS_S_0287,-72.35478818255143,-1.1059036392472548,10:43:37.14,-60:07:40.63
MSGPS_S_0288,-72.21053890297694,-0.8560565580690108,10:45:34.62,-59:58:28.62
MSGPS_S_0289,-72.35478818255143,-0.6062094768907669,10:45:29.08,-59:41:10.89
MSGPS_S_0290,-72.21053890297694,-0.35636239571252304,10:47:24.51,-59:31:52.78
MSGPS_S_0291,-72.35478818255143,-0.1065153145342792,10:47:18.1,-59:14:35.34
MSGPS_S_0292,-72.21053890297694,0.14333176664396485,10:49:11.53,-59:05:11.33
MSGPS_S_0293,-72.35478818255143,0.3931788478222087,10:49:4.32,-58:47:54.24
MSGPS_S_0294,-72.21053890297694,0.6430259290004525,10:50:55.82,-58:38:24.52
MSGPS_S_0295,-72.35478818255143,0.8928730101786966,10:50:47.85,-58:21:7.83
MSGPS_S_0296,-72.21053890297694,1.1427200913569402,10:52:37.46,-58:11:32.56
MSGPS_S_0297,-71.92204034382793,-1.3557507204254986,10:45:45.96,-60:33:4.0
MSGPS_S_0298,-72.06628962340243,-1.1059036392472548,10:45:40.25,-60:15:46.33
MSGPS_S_0299,-71.92204034382793,-0.8560565580690108,10:47:37.63,-60:06:27.58
