name,ra,dec,tags,type,duration
MSGPS_S_0858,12:50:08.73,-64:13:37.73,['target'],track,1257
MSGPS_S_0924,13:06:02.98,-64:10:56.52,['target'],track,1257
MSGPS_S_1035,13:30:36.81,-63:38:51.81,['target'],track,1257
MSGPS_S_1168,14:01:23.16,-62:38:41.64,['target'],track,1257
MSGPS_S_1365,14:42:25.91,-61:08:51.16,['target'],track,1257
MSGPS_S_1574,15:20:46.2,-58:31:02.97,['target'],track,1257
MSGPS_S_1805,15:56:21.4,-54:55:06.98,['target'],track,1257
MSGPS_S_1991,16:22:22.75,-51:41:03.04,['target'],track,1257
MSGPS_S_0038,10:05:16.02,-55:44:20.13,['target'],track,1257
MSGPS_S_0039,10:07:08.19,-55:37:17.36,['target'],track,1257
MSGPS_S_0040,10:07:20.46,-55:20:04.02,['target'],track,1257
MSGPS_S_0041,10:09:11.11,-55:12:54.22,['target'],track,1257
MSGPS_S_0098,10:19:34.03,-55:36:53.23,['target'],track,1257
MSGPS_S_0199,10:27:48.49,-58:58:51.38,['target'],track,1257
MSGPS_S_0278,10:43:28.12,-59:33:04.62,['target'],track,1257
MSGPS_S_0389,11:06:14.81,-60:38:23.97,['target'],track,1257
MSGPS_S_0478,11:23:35.02,-61:11:41.23,['target'],track,1257
MSGPS_S_0578,11:46:09.58,-61:45:21.94,['target'],track,1257
MSGPS_S_0682,12:08:06.46,-63:49:35.82,['target'],track,1257
MSGPS_S_0792,12:34:15.07,-64:09:54.1,['target'],track,1257
MSGPS_S_0859,12:48:50.52,-63:58:34.38,['target'],track,1257
MSGPS_S_0925,13:04:36.57,-63:56:26.38,['target'],track,1257
MSGPS_S_1036,13:31:32.91,-63:22:43.43,['target'],track,1257
MSGPS_S_1177,14:05:01.08,-63:02:46.89,['target'],track,1257
MSGPS_S_1366,14:42:39.57,-60:51:37.37,['target'],track,1257
MSGPS_S_1575,15:20:40.07,-58:13:45.54,['target'],track,1257
MSGPS_S_1806,15:56:00.62,-54:38:04.1,['target'],track,1257
MSGPS_S_1992,16:20:35,-51:36:33.06,['target'],track,1257
MSGPS_S_0042,10:09:22.39,-54:55:40.17,['target'],track,1257
MSGPS_S_0043,10:11:11.55,-54:48:23.51,['target'],track,1257
MSGPS_S_0044,10:02:25.01,-57:00:02.64,['target'],track,1257
MSGPS_S_0045,10:02:39.9,-56:42:51.3,['target'],track,1257
MSGPS_S_0099,10:11:05.9,-57:50:45.4,['target'],track,1257
MSGPS_S_0200,10:29:46.06,-58:50:31.97,['target'],track,1257
MSGPS_S_0279,10:45:23.63,-59:23:53.13,['target'],track,1257
MSGPS_S_0390,11:05:58.29,-60:21:12.57,['target'],track,1257
MSGPS_S_0479,11:25:23.55,-61:00:23.21,['target'],track,1257
MSGPS_S_0583,11:45:18.55,-63:16:46.3,['target'],track,1257
MSGPS_S_0683,12:07:12.35,-63:33:21.56,['target'],track,1257
MSGPS_S_0793,12:33:05.64,-63:54:21,['target'],track,1257
MSGPS_S_0860,12:50:10.09,-63:43:38.85,['target'],track,1257
MSGPS_S_0926,13:05:47.64,-63:41:00.47,['target'],track,1257
MSGPS_S_1045,13:34:50.08,-63:49:31.34,['target'],track,1257
MSGPS_S_1178,14:03:11.38,-62:50:46.87,['target'],track,1257
MSGPS_S_1375,14:46:33.6,-61:11:30.23,['target'],track,1257
MSGPS_S_1584,15:24:35.39,-58:29:26.67,['target'],track,1257
MSGPS_S_1815,15:59:46.41,-54:49:44.15,['target'],track,1257
MSGPS_S_1993,16:20:06.76,-51:19:48.59,['target'],track,1257
MSGPS_S_0046,10:04:35.43,-56:35:57.39,['target'],track,1257
MSGPS_S_0047,10:04:49.17,-56:18:45.08,['target'],track,1257
MSGPS_S_0048,10:06:43.09,-56:11:43.8,['target'],track,1257
MSGPS_S_0049,10:06:55.73,-55:54:30.62,['target'],track,1257
MSGPS_S_0100,10:11:17.1,-57:33:30.75,['target'],track,1257
MSGPS_S_0201,10:29:48.5,-58:33:13.57,['target'],track,1257
MSGPS_S_0280,10:45:18.27,-59:06:35.35,['target'],track,1257
MSGPS_S_0391,11:07:49.91,-60:10:48.68,['target'],track,1257
MSGPS_S_0484,11:23:30.94,-62:31:00.53,['target'],track,1257
MSGPS_S_0584,11:44:38.26,-63:00:04.32,['target'],track,1257
MSGPS_S_0684,12:08:51.16,-63:20:01.84,['target'],track,1257
MSGPS_S_0794,12:34:33.1,-63:39:59.14,['target'],track,1257
MSGPS_S_0861,12:48:53.23,-63:28:35.57,['target'],track,1257
MSGPS_S_0927,13:04:22.86,-63:26:29.79,['target'],track,1257
MSGPS_S_1046,13:33:10.73,-63:36:09.48,['target'],track,1257
MSGPS_S_1179,14:03:47.96,-62:33:59.24,['target'],track,1257
MSGPS_S_1376,14:44:35.98,-61:01:36.93,['target'],track,1257
MSGPS_S_1585,15:22:37.3,-58:21:39.44,['target'],track,1257
MSGPS_S_1816,15:57:53.25,-54:43:57.36,['target'],track,1257
MSGPS_S_2002,16:23:41.19,-51:28:45.81,['target'],track,1257
MSGPS_S_0050,10:08:48.09,-55:47:22.16,['target'],track,1257
MSGPS_S_0051,10:08:59.68,-55:30:08.22,['target'],track,1257
MSGPS_S_0052,10:10:50.5,-55:22:52.76,['target'],track,1257
MSGPS_S_0053,10:11:01.1,-55:05:38.15,['target'],track,1257
MSGPS_S_0101,10:13:13.62,-57:26:07.36,['target'],track,1257
MSGPS_S_0202,10:31:44.17,-58:24:47.47,['target'],track,1257
MSGPS_S_0281,10:47:11.81,-58:57:17.88,['target'],track,1257
MSGPS_S_0392,11:07:32.79,-59:53:38.03,['target'],track,1257
MSGPS_S_0485,11:23:03.77,-62:13:59.33,['target'],track,1257
MSGPS_S_0585,11:46:25.01,-62:47:45.09,['target'],track,1257
MSGPS_S_0685,12:07:57.55,-63:03:48.62,['target'],track,1257
MSGPS_S_0795,12:33:24.71,-63:24:26.58,['target'],track,1257
MSGPS_S_0862,12:50:11.4,-63:13:39.97,['target'],track,1257
MSGPS_S_0928,13:05:32.83,-63:11:04.32,['target'],track,1257
MSGPS_S_1047,13:34:05.31,-63:19:57.44,['target'],track,1257
MSGPS_S_1180,14:02:00.5,-62:21:55.76,['target'],track,1257
MSGPS_S_1377,14:44:48.43,-60:44:22.36,['target'],track,1257
MSGPS_S_1586,15:22:30.3,-58:04:22.36,['target'],track,1257
MSGPS_S_1817,15:57:31.94,-54:26:55.46,['target'],track,1257
MSGPS_S_2003,16:21:53.8,-51:24:20.22,['target'],track,1257
MSGPS_S_0054,10:12:50.4,-54:58:15.87,['target'],track,1257
MSGPS_S_0055,10:04:07.29,-57:10:21.65,['target'],track,1257
MSGPS_S_0056,10:04:21.47,-56:53:09.58,['target'],track,1257
MSGPS_S_0057,10:06:17.22,-56:46:09.88,['target'],track,1257
MSGPS_S_0102,10:13:23.7,-57:08:52,['target'],track,1257
MSGPS_S_0203,10:31:45.61,-58:07:28.94,['target'],track,1257
MSGPS_S_0282,10:47:05.61,-58:40:00.4,['target'],track,1257
MSGPS_S_0393,11:09:22.37,-59:43:09.26,['target'],track,1257
MSGPS_S_0486,11:24:56.18,-62:02:42.79,['target'],track,1257
MSGPS_S_0586,11:45:44.73,-62:31:04.28,['target'],track,1257
MSGPS_S_0686,12:09:34.37,-62:50:27.02,['target'],track,1257
MSGPS_S_0796,12:34:50.51,-63:10:04.04,['target'],track,1257
MSGPS_S_0869,12:52:47.93,-64:13:37.59,['target'],track,1257
MSGPS_S_0935,13:08:41.57,-64:09:52.31,['target'],track,1257
MSGPS_S_1048,13:32:27.98,-63:06:33.71,['target'],track,1257
MSGPS_S_1188,14:07:27.24,-62:57:50.54,['target'],track,1257
MSGPS_S_1378,14:42:53,-60:34:23.48,['target'],track,1257
MSGPS_S_1587,15:20:34.04,-57:56:28.06,['target'],track,1257
MSGPS_S_1818,15:55:40.14,-54:21:00.97,['target'],track,1257
MSGPS_S_2004,16:21:25.22,-51:07:36.91,['target'],track,1257
MSGPS_S_0058,10:06:30.26,-56:28:56.89,['target'],track,1257
MSGPS_S_0059,10:08:24.38,-56:21:49.84,['target'],track,1257
MSGPS_S_0060,10:08:36.32,-56:04:36.04,['target'],track,1257
