Pointing,RA,DEC,Obs_time_UTC,Obs_Time_LST
MSGPS_S_0050,10:08:48.09,-55:47:22.16,2023-04-10 14:55:01,05:35:02.001950
MSGPS_S_0051,10:08:59.68,-55:30:08.22,2023-04-10 15:18:00,05:58:01.001950
MSGPS_S_0052,10:10:50.5,-55:22:52.76,2023-04-10 15:40:59,06:21:00.001950
MSGPS_S_0053,10:11:01.1,-55:05:38.15,2023-04-10 16:03:58,06:43:59.001950
MSGPS_S_0139,10:22:44.4,-56:47:32.31,2023-04-10 16:26:57,07:06:58.001950
MSGPS_S_0223,10:33:37.84,-58:50:52.09,2023-04-10 16:49:56,07:29:57.001950
MSGPS_S_0320,10:49:49.47,-60:31:36.35,2023-04-10 17:17:56,07:57:57.001950
MSGPS_S_0411,11:10:36.18,-60:51:47.23,2023-04-10 17:42:55,08:22:56.001950
MSGPS_S_0507,11:27:45.58,-62:25:17.1,2023-04-10 18:05:54,08:45:55.001950
MSGPS_S_0606,11:49:34.55,-63:08:36.47,2023-04-10 18:28:53,09:08:54.001950
MSGPS_S_0706,12:13:56.45,-63:25:23.2,2023-04-10 18:51:52,09:31:53.001950
MSGPS_S_0805,12:37:08.93,-63:41:01.96,2023-04-10 19:14:51,09:54:52.001950
MSGPS_S_0860,12:50:10.09,-63:43:38.85,2023-04-10 19:37:50,10:17:51.001950
MSGPS_S_0958,13:12:27.82,-63:52:59.66,2023-04-10 20:05:50,10:45:51.001950
MSGPS_S_1068,13:38:17.03,-63:30:14.39,2023-04-10 20:28:49,11:08:50.001950
MSGPS_S_1211,14:10:25.41,-62:35:51.21,2023-04-10 20:51:48,11:31:49.001950
MSGPS_S_1420,14:53:06.32,-60:31:24.29,2023-04-10 21:16:47,11:56:48.001950
MSGPS_S_1640,15:31:38.17,-57:33:15.43,2023-04-10 21:39:46,12:19:47.001950
MSGPS_S_1849,16:02:23.82,-54:10:03.46,2023-04-10 22:02:45,12:42:46.001950
MSGPS_S_0055,10:04:07.29,-57:10:21.65,2023-04-10 14:32:02,05:12:03.001950
MSGPS_S_0056,10:04:21.47,-56:53:09.58,2023-04-10 14:55:01,05:35:02.001950
MSGPS_S_0057,10:06:17.22,-56:46:09.88,2023-04-10 15:18:00,05:58:01.001950
MSGPS_S_0058,10:06:30.26,-56:28:56.89,2023-04-10 15:40:59,06:21:00.001950
MSGPS_S_0059,10:08:24.38,-56:21:49.84,2023-04-10 16:03:58,06:43:59.001950
MSGPS_S_0140,10:24:36.18,-56:39:30.12,2023-04-10 16:26:57,07:06:58.001950
MSGPS_S_0224,10:35:33.54,-58:42:13.2,2023-04-10 16:49:56,07:29:57.001950
MSGPS_S_0321,10:51:46.61,-60:22:04.04,2023-04-10 17:17:56,07:57:57.001950
MSGPS_S_0418,11:09:39.16,-61:53:49.43,2023-04-10 17:42:55,08:22:56.001950
MSGPS_S_0508,11:29:36.92,-62:13:46.54,2023-04-10 18:05:54,08:45:55.001950
MSGPS_S_0607,11:51:19.73,-62:56:03.54,2023-04-10 18:28:53,09:08:54.001950
MSGPS_S_0715,12:15:52.85,-63:57:30.77,2023-04-10 18:51:52,09:31:53.001950
MSGPS_S_0815,12:38:20.03,-63:56:27.74,2023-04-10 19:14:51,09:54:52.001950
MSGPS_S_0870,12:51:28.31,-63:58:39.55,2023-04-10 19:37:50,10:17:51.001950
MSGPS_S_0959,13:13:34.47,-63:37:19.91,2023-04-10 20:05:50,10:45:51.001950
MSGPS_S_1069,13:39:08.57,-63:13:55.36,2023-04-10 20:28:49,11:08:50.001950
MSGPS_S_1221,14:14:40.67,-62:42:06.27,2023-04-10 20:51:48,11:31:49.001950
MSGPS_S_1430,14:57:09.8,-60:32:51.58,2023-04-10 21:16:47,11:56:48.001950
MSGPS_S_1650,15:35:20.57,-57:30:28.53,2023-04-10 21:39:46,12:19:47.001950
MSGPS_S_1859,16:05:44.27,-54:04:03.74,2023-04-10 22:02:45,12:42:46.001950
