Pointing,Gl,Gb,RA,Dec
MMGPS_U_0866,-36.90332118922488,7.844317777089312,14:59:37.71,-49:56:28.65
MMGPS_U_0867,-36.47795375175412,8.581075790674056,14:59:44.47,-49:05:34.54
MMGPS_U_0868,-36.90332118922488,9.317833804258797,14:55:22.59,-48:38:27.69
MMGPS_U_0869,-36.47795375175412,10.054591817843537,14:55:32.87,-47:47:37.64
MMGPS_U_0870,-35.6272188768126,-10.574632562529235,16:30:27.78,-63:53:50.94
MMGPS_U_0871,-36.05258631428336,-9.837874548944493,16:22:59.9,-63:41:58.09
MMGPS_U_0872,-35.6272188768126,-9.10111653535975,16:20:53.95,-62:53:6.29
MMGPS_U_0873,-36.05258631428336,-8.36435852177501,16:13:45.17,-62:39:29.77
MMGPS_U_0874,-35.6272188768126,-7.627600508190268,16:11:59.09,-61:50:5.74
MMGPS_U_0875,-36.05258631428336,-6.890842494605526,16:05:8.73,-61:34:53.89
MMGPS_U_0876,-35.6272188768126,-6.154084481020783,16:03:40.18,-60:45:4.02
MMGPS_U_0877,-36.05258631428336,-5.417326467436042,15:57:7.43,-60:28:24.48
MMGPS_U_0878,-35.6272188768126,-4.6805684538513,15:55:54.31,-59:38:14.18
MMGPS_U_0879,-36.05258631428336,-3.9438104402665575,15:49:38.31,-59:20:13.91
MMGPS_U_0880,-35.6272188768126,-3.207052426681816,15:48:38.71,-58:29:47.75
MMGPS_U_0881,-36.05258631428336,-2.470294413097074,15:42:38.57,-58:10:33.12
MMGPS_U_0882,-35.6272188768126,-1.7335363995123316,15:41:50.8,-57:19:54.95
MMGPS_U_0883,-36.05258631428336,-0.9967783859275894,15:36:5.63,-56:59:31.7
MMGPS_U_0884,-35.6272188768126,-0.2600203723428489,15:35:28.18,-56:08:44.78
MMGPS_U_0885,-36.05258631428336,0.47673764124189333,15:29:57.12,-55:47:18.1
MMGPS_U_0886,-35.6272188768126,1.2134956548266356,15:29:28.66,-54:56:25.17
MMGPS_U_0887,-36.05258631428336,1.9502536684113778,15:24:10.85,-54:33:59.77
MMGPS_U_0888,-35.6272188768126,2.68701168199612,15:23:50.21,-53:43:3.13
